,,,,,,Value,Value,Val error,Val error
,,,,,,mean,std,mean,std
Experiment_id,Dataset,Training,Adaptation steps,Horizon,Vrae weight,,,,
NOISE2_ABLATION_1,HR,MMAML,0,10,0.0,0.07133922725915909,0.004240329152750842,0.07132856100797653,0.0022038540783377346
NOISE2_ABLATION_1,HR,MMAML,1,1,0.0,0.04442485123872757,0.000935214044094264,,
NOISE2_ABLATION_1,HR,MMAML,1,10,0.0,0.06872476786375045,0.002906121419114161,0.06544367671012878,0.002129981097523839
NOISE2_ABLATION_2,HR,MAML,0,1,-,0.06781922727823257,0.0037124128864205745,,
NOISE2_ABLATION_2,HR,MAML,0,10,-,0.06882094442844391,0.0029087844419698307,0.09364693760871887,0.0032155810790324532
NOISE2_ABLATION_2,HR,MAML,1,1,-,0.06103793606162071,0.005252468725902344,,
NOISE2_ABLATION_2,HR,MAML,1,10,-,0.07755542546510696,0.007393742481240959,0.06785188317298889,0.0017147667102492064
NOISE3_ABLATION,HR,MMAML,0,1,0.0,0.053035723666350044,0.001927358521362719,,
NOISE3_ABLATION,HR,MMAML,0,10,0.0,0.07276463508605957,0.0019663905981913356,0.06959037482738495,0.0013097352732188779
NOISE3_ABLATION,HR,MMAML,1,1,0.0,0.045816839983065925,0.0008782950116003633,,
NOISE3_ABLATION,HR,MMAML,1,10,0.0,0.06912258019049962,0.0009683091371805069,0.06421555827061336,0.00047412107021678755
NOISE3_ABLATION_1,HR,MMAML,0,1,0.0,0.05520060583949089,0.0030090359688045537,,
NOISE3_ABLATION_1,HR,MMAML,0,10,0.0,0.07504562884569169,0.0030426426927766246,0.07106714844703674,0.0021714050288654764
NOISE3_ABLATION_1,HR,MMAML,1,1,0.0,0.046414921432733534,0.0018170280769579574,,
NOISE3_ABLATION_1,HR,MMAML,1,10,0.0,0.06959550380706787,0.0019509345749341538,0.0644798070192337,0.0010513541154118838
NOISE3_ABLATION_2,HR,MAML,0,1,-,0.07238682359457016,0.00668255487675216,,
NOISE3_ABLATION_2,HR,MAML,0,10,-,0.07399449497461319,0.006183417542927444,0.09272628128528596,0.0026418342939451825
NOISE3_ABLATION_2,HR,MAML,1,1,-,0.06388114839792251,0.0022714510376477147,,
NOISE3_ABLATION_2,HR,MAML,1,10,-,0.07959583252668381,0.003958747275950337,0.06758286356925965,0.0017403233830844786
NOISE4_ABLATION,HR,MMAML,0,1,0.0,0.06889296819766362,0.008316626720848352,,
NOISE4_ABLATION,HR,MMAML,0,10,0.0,0.0869549165169398,0.005641144647587532,0.08939865976572037,0.0028216433816546623
NOISE4_ABLATION,HR,MMAML,1,1,0.0,0.05032660812139511,0.0038827552378388587,,
NOISE4_ABLATION,HR,MMAML,1,10,0.0,0.07353708148002625,0.0034320567352810103,0.06858641654253006,0.0005529662904139136
NOISE4_ABLATION_1,HR,MMAML,0,1,0.0,0.07099528163671494,0.0031350909887512325,,
NOISE4_ABLATION_1,HR,MMAML,0,10,0.0,0.08398452699184418,0.004584332586456185,0.08697130084037781,0.0034595092477324807
NOISE4_ABLATION_1,HR,MMAML,1,1,0.0,0.052366985380649565,0.0013490276365288284,,
NOISE4_ABLATION_1,HR,MMAML,1,10,0.0,0.074966461956501,0.0028331185921872492,0.07042090743780136,0.003762967473792128
NOISE4_ABLATION_2,HR,MAML,0,1,-,0.09552564471960068,0.0038664950257337725,,
NOISE4_ABLATION_2,HR,MAML,0,10,-,0.09514128416776657,0.0033488212510130854,0.09870619773864746,0.0039669050248184535
NOISE4_ABLATION_2,HR,MAML,1,1,-,0.06223569214344025,0.00162272404556578,,
NOISE4_ABLATION_2,HR,MAML,1,10,-,0.07138890624046326,0.0023799130039879684,0.07527034729719162,0.0021914214700787683
NOISE5_ABLATION,POLLUTION,MMAML,0,1,0.0,0.04137572646141052,0.0013019871423980908,,
NOISE5_ABLATION,POLLUTION,MMAML,0,10,0.0,0.04117769127090772,0.0002581106207617775,0.02947446455558141,0.0008199261516031602
NOISE5_ABLATION,POLLUTION,MMAML,1,1,0.0,0.040774804850419365,0.0009755356122106638,,
NOISE5_ABLATION,POLLUTION,MMAML,1,10,0.0,0.040668132404486336,0.0004048381210365338,0.02863069623708725,0.0005921877190090614
NOISE5_ABLATION_1,POLLUTION,MMAML,0,1,0.0,0.04121197238564491,0.0014045091927559013,,
NOISE5_ABLATION_1,POLLUTION,MMAML,0,10,0.0,0.042360059916973114,0.001042056420756464,0.03119295835494995,0.001268401744599863
NOISE5_ABLATION_1,POLLUTION,MMAML,1,1,0.0,0.040404891967773436,0.0011030643678368896,,
NOISE5_ABLATION_1,POLLUTION,MMAML,1,10,0.0,0.04154726266860962,0.0006938881634172775,0.029738612845540045,0.000669959376574566
NOISE5_ABLATION_2,POLLUTION,MAML,0,1,-,0.043348368257284164,0.0009790593241024803,,
NOISE5_ABLATION_2,POLLUTION,MAML,0,10,-,0.0419298067688942,0.0005483547332910453,0.028124479949474333,0.00040544532051377166
NOISE5_ABLATION_2,POLLUTION,MAML,1,1,-,0.042421337217092514,0.0008357521063862991,,
NOISE5_ABLATION_2,POLLUTION,MAML,1,10,-,0.041530958563089374,0.0005786492805159307,0.027595138177275658,0.00030950299437793006
NOISE6_ABLATION,POLLUTION,MMAML,0,1,0.0,0.04233371093869209,0.0021420122300330542,,
NOISE6_ABLATION,POLLUTION,MMAML,0,10,0.0,0.04259098072846731,0.0014360119502433316,0.030873917664090793,0.00042073344641155
NOISE6_ABLATION,POLLUTION,MMAML,1,1,0.0,0.04108068843682607,0.0014471314998815209,,
NOISE6_ABLATION,POLLUTION,MMAML,1,10,0.0,0.04147357493638992,0.0007028753316586834,0.02918782892326514,0.0006738014380523892
NOISE6_ABLATION_1,POLLUTION,MMAML,0,1,0.0,0.04458024725317955,0.0040804566677667365,,
NOISE6_ABLATION_1,POLLUTION,MMAML,0,10,0.0,0.044019144773483274,0.003273646452090137,0.03186305128037929,0.0019417566593538025
NOISE6_ABLATION_1,POLLUTION,MMAML,1,1,0.0,0.04254184290766716,0.002652231390044108,,
NOISE6_ABLATION_1,POLLUTION,MMAML,1,10,0.0,0.0423482209444046,0.001999829991186056,0.0291412103921175,0.000550530927641591
NOISE6_ABLATION_2,POLLUTION,MAML,0,1,-,0.043372926861047746,0.0013805839524832595,,
NOISE6_ABLATION_2,POLLUTION,MAML,0,10,-,0.04191141054034233,0.0008586642034241047,0.02831045500934124,0.0006517709869052051
NOISE6_ABLATION_2,POLLUTION,MAML,1,1,-,0.04240249395370484,0.0011252186253912849,,
NOISE6_ABLATION_2,POLLUTION,MAML,1,10,-,0.04145854637026787,0.0008351945613283712,0.027625876292586327,4.865020051225034e-05
NOISE7_ABLATION,POLLUTION,MMAML,0,1,0.0,0.046337454269329705,0.0064687741982906236,,
NOISE7_ABLATION,POLLUTION,MMAML,0,10,0.0,0.04566487297415733,0.004457922096737893,0.03314108029007912,0.0014151756214527207
NOISE7_ABLATION,POLLUTION,MMAML,1,1,0.0,0.04399624839425087,0.004532463211133689,,
NOISE7_ABLATION,POLLUTION,MMAML,1,10,0.0,0.043245689322551094,0.0028898406130538116,0.02891651789347331,0.0009931237809615062
NOISE7_ABLATION_1,POLLUTION,MMAML,0,1,0.0,0.0427923284471035,0.0019026773441999777,,
NOISE7_ABLATION_1,POLLUTION,MMAML,0,10,0.0,0.042993615567684176,0.0007617331083575749,0.03143052458763122,0.0011950634241363668
NOISE7_ABLATION_1,POLLUTION,MMAML,1,1,0.0,0.041368187963962556,0.001492064715275754,,
NOISE7_ABLATION_1,POLLUTION,MMAML,1,10,0.0,0.04175851345062256,0.00039026183360306395,0.02928491644561291,0.0012044273038584832
NOISE7_ABLATION_2,POLLUTION,MAML,0,1,-,0.0431516706943512,0.0010204691247998928,,
NOISE7_ABLATION_2,POLLUTION,MAML,0,10,-,0.04301370456814766,0.0008412761819109629,0.029111073911190034,0.0010917428353632527
NOISE7_ABLATION_2,POLLUTION,MAML,1,1,-,0.04181916192173958,0.0005016336293205921,,
NOISE7_ABLATION_2,POLLUTION,MAML,1,10,-,0.042053311318159106,0.00039577689989431057,0.027732278779149057,0.00026609027817972575
NOISE8_ABLATION,POLLUTION,MMAML,0,1,0.0,0.06277388085921605,0.0017403678112244225,,
NOISE8_ABLATION,POLLUTION,MMAML,0,10,0.0,0.06278514737884204,0.002222999632088385,0.05700763066609701,0.0009200960746542332
NOISE8_ABLATION,POLLUTION,MMAML,1,1,0.0,0.04401101420323054,0.0013295841073615812,,
NOISE8_ABLATION,POLLUTION,MMAML,1,10,0.0,0.04585748786727587,0.0008499593932101235,0.03365496794382731,0.0006891666816488739
NOISE8_ABLATION_1,POLLUTION,MMAML,0,1,0.0,0.06135029494762421,0.004309104457803042,,
NOISE8_ABLATION_1,POLLUTION,MMAML,0,10,0.0,0.06573835015296936,0.0033341863084833173,0.05668256357312203,0.00043865760439721805
NOISE8_ABLATION_1,POLLUTION,MMAML,1,1,0.0,0.04225697293877602,0.0009844971909948668,,
NOISE8_ABLATION_1,POLLUTION,MMAML,1,10,0.0,0.045896245539188384,0.0016159941800991274,0.03301635086536407,0.0010922989028503548
NOISE8_ABLATION_2,POLLUTION,MAML,0,1,-,0.05341176763176918,0.00242438249032842,,
NOISE8_ABLATION_2,POLLUTION,MAML,0,10,-,0.056462576240301134,0.0030039213754453472,0.04957171157002449,0.0012020921493206703
NOISE8_ABLATION_2,POLLUTION,MAML,1,1,-,0.043182588368654254,0.0003214375895742095,,
NOISE8_ABLATION_2,POLLUTION,MAML,1,10,-,0.04390428364276886,0.0005635483901359256,0.02921702042222023,0.0002013429932472506
NOISE9_ABLATION,BATTERY,MMAML,0,1,0.0,0.03834050397078196,0.0017955710695295897,,
NOISE9_ABLATION,BATTERY,MMAML,0,10,0.0,0.03799379120270411,0.0011170029051237758,0.03761545568704605,0.0013014428899524603
NOISE9_ABLATION,BATTERY,MMAML,1,1,0.0,0.0028653668705374002,0.00040919394992026286,,
